,Characteristic,2002_median_weekly_earnings,2002_workers_in_000s,2003_median_weekly_earnings,2003_workers_in_000s,2004_median_weekly_earnings,2004_workers_in_000s,2005_median_weekly_earnings,2005_workers_in_000s,2006_median_weekly_earnings,2006_workers_in_000s,2007_median_weekly_earnings,2007_workers_in_000s,2008_median_weekly_earnings,2008_workers_in_000s,2009_median_weekly_earnings,2009_workers_in_000s,2010_workers_in_000s,2010_median_weekly_earnings,2011_workers_in_000s,2011_median_weekly_earnings,2012_workers_in_000s,2012_median_weekly_earnings,2013_workers_in_000s,2013_median_weekly_earnings,2014_workers_in_000s,2014_median_weekly_earnings,2015_workers_in_000s,2015_median_weekly_earnings,2016_workers_in_000s,2016_median_weekly_earnings,2017_workers_in_000s,2017_median_weekly_earnings
0,"Total, 16 years and over",608,100081,620,100302,638,101224,651,103560,671,106106,695,107339,722,106648,739,99820,99531,747,100457,756,102749,768,104262,776,106526,791,109080,809,111091,832,113272,860
1,"Men, 16 years and over",679,56345,695,56227,713,57001,722,58406,743,59747,766,60298,798,59439,819,55108,55059,824,55971,832,57286,854,57994,860,59450,871,60746,895,61930,915,62980,941
2,"Men, 16 to 24 years",391,6317,398,6158,400,6243,409,6396,418,6559,443,6458,461,5996,458,5014,4770,443,4951,455,5164,468,5207,479,5493,493,5476,510,5646,512,5791,547
3,"Men, 25 years and over",732,50027,744,50069,762,50758,771,52010,797,53188,823,53840,857,53444,873,50094,50289,874,51020,886,52122,910,52787,912,53957,922,55270,947,56284,969,57190,996
4,"Women, 16 years and over",529,43737,552,44076,573,44223,585,45154,600,46358,614,47041,638,47209,657,44712,44472,669,44486,684,45462,691,46268,706,47076,719,48334,726,49161,749,50291,770
5,"Women, 16 to 24 years",367,4804,371,4632,375,4633,381,4711,395,4802,409,4792,420,4625,424,3943,3782,422,3772,421,3866,416,4041,423,4090,451,4314,450,4430,486,4490,499
6,"Women, 25 years and over",568,38933,584,39444,599,39590,612,40443,627,41556,646,42249,670,42584,687,40769,40691,704,40714,718,41597,727,42228,740,42986,752,44020,761,44731,784,45801,810
7,White,623,82324,636,81916,657,82468,672,84110,690,86055,716,86653,742,86022,757,80873,80656,765,81336,775,81779,792,82672,802,84177,816,85443,835,86474,862,87730,890
8,"W, Men",702,47417,715,47001,732,47495,743,48572,761,49650,788,49889,825,49082,845,45730,45685,850,46360,856,46672,879,47053,884,48058,897,48746,920,49310,942,50003,971
9,"W, Women",547,34908,567,34916,584,34972,596,35538,609,36405,626,36764,654,36940,669,35144,34971,684,34976,703,35108,710,35619,722,36119,734,36698,743,37163,766,37727,795
10,Black or African American,498,12109,514,11887,525,12032,520,12388,554,12745,569,13061,589,12821,601,11713,11658,611,11604,615,12230,621,12439,629,12910,639,13587,641,13963,678,14521,682
11,"B/AA, Men",524,5789,555,5585,569,5706,559,5916,591,6025,600,6186,620,6031,621,5386,5376,633,5414,653,5756,665,5851,664,6129,680,6445,680,6728,718,6928,710
12,"B/AA, Women",473,6319,491,6301,505,6326,499,6472,519,6720,533,6874,554,6790,582,6327,6283,592,6191,595,6474,599,6588,606,6781,611,7142,615,7235,641,7593,657
13,Asian,658,4613,693,4314,708,4457,753,4651,784,4840,830,5155,861,5266,880,4923,4946,855,5197,866,5790,920,6073,942,6273,953,6638,993,7030,1021,7320,1043
14,"A, Men",756,2556,772,2442,802,2504,825,2597,882,2717,936,2858,966,2919,952,2727,2753,936,2912,970,3231,1055,3376,1059,3488,1080,3684,1129,3888,1151,4014,1207
15,"A, Women",566,2058,598,1872,613,1953,665,2054,699,2123,731,2297,753,2347,779,2196,2193,773,2284,751,2560,770,2698,819,2784,841,2954,877,3142,902,3306,903
16,Hispanic or Latino ethnicity,424,13137,440,13634,456,14061,471,14673,486,15693,503,16201,529,15807,541,14624,14837,535,15147,549,16302,568,16859,578,17475,594,18311,604,18950,624,19615,655
17,"H/L, Men",451,8272,464,8677,480,8996,489,9433,505,10007,520,10248,559,9961,569,9150,9239,560,9448,571,9887,592,10325,594,10754,616,11142,631,11666,663,11896,690
18,"H/L, Women",397,4865,410,4957,419,5065,429,5241,440,5686,473,5953,501,5846,509,5474,5598,508,5700,518,6414,521,6534,541,6721,548,7168,566,7284,586,7719,603
