Industry_x,Occupation,16+,16 to 19 ,20 to 24 ,25 to 34 ,35 to 44 ,45 to 54 ,55 to 64 ,65 years,Median,Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, women"
ComputerandMath,Computerandmathematicaloccupations,4804,28,284,1408,1286,1020,642,135,40.7,ComputerandMath,4350,1465,3240,1552,1110,1235
ComputerandMath,Computerandinformationresearchscientists,24,0,1,10,6,4,3,0,-,ComputerandMath,23,0,13,0,9,0
ComputerandMath,Computersystemsanalysts,554,0,34,137,132,136,96,19,42.8,ComputerandMath,522,1409,311,1495,211,1270
ComputerandMath,Informationsecurityanalysts,105,0,6,24,32,26,16,3,42.7,ComputerandMath,94,1725,74,1773,20,0
ComputerandMath,Computerprogrammers,473,4,27,125,131,113,62,12,41.5,ComputerandMath,423,1483,333,1539,89,1363
ComputerandMath,"Softwaredevelopers,applicationsandsystemssoftware",1536,5,80,526,433,277,175,40,39.5,ComputerandMath,1439,1792,1174,1863,265,1543
ComputerandMath,Webdevelopers,204,3,15,65,62,36,19,4,38.7,ComputerandMath,144,1235,98,1342,46,0
ComputerandMath,Computersupportspecialists,532,7,42,164,123,102,81,13,40,ComputerandMath,443,1068,319,1134,124,919
ComputerandMath,Databaseadministrators,96,0,5,31,17,26,16,2,42.8,ComputerandMath,93,1381,56,1745,37,0
ComputerandMath,Networkandcomputersystemsadministrators,210,4,11,40,62,55,29,9,42.8,ComputerandMath,193,1395,155,1396,38,0
ComputerandMath,Computernetworkarchitects,106,0,4,23,37,28,10,4,42.1,ComputerandMath,100,1636,97,1659,3,0
ComputerandMath,"Computeroccupations,allother",693,5,45,189,184,159,90,20,40.7,ComputerandMath,627,1194,484,1250,142,1059
ComputerandMath,Actuaries,29,0,2,14,4,7,1,1,-,ComputerandMath,23,0,16,0,7,0
ComputerandMath,Mathematicians,3,0,1,1,2,0,0,0,-,ComputerandMath,2,0,2,0,0,0
ComputerandMath,Operationsresearchanalysts,147,0,3,27,37,42,32,7,46,ComputerandMath,146,1396,71,1570,74,1205
ComputerandMath,Statisticians,87,0,9,33,24,8,11,2,35.9,ComputerandMath,77,1433,36,0,41,0
ComputerandMath,Miscellaneousmathematicalscienceoccupations,3,0,0,1,1,0,0,0,-,,2,0,1,0,1,0
Engineering,Architectureandengineeringoccupations,3224,7,221,814,723,690,609,160,43,Engineering,2936,1478,2494,1518,442,1307
Engineering,"Architects,exceptnaval",253,0,5,66,55,52,53,21,45,Engineering,196,1453,150,1650,46,0
Engineering,"Surveyors,cartographers,andphotogrammetrists",43,0,2,7,17,9,7,2,-,Engineering,30,0,25,0,5,0
Engineering,Aerospaceengineers,148,1,7,34,28,33,40,7,47.4,Engineering,137,1892,128,1891,9,0
Engineering,Agriculturalengineers,2,0,0,1,1,0,1,0,-,Engineering,3,0,3,0,0,0
Engineering,Biomedicalengineers,17,0,0,2,8,3,2,1,-,Engineering,16,0,11,0,4,0
Engineering,Chemicalengineers,77,0,6,20,10,20,17,4,45.6,Engineering,78,1626,66,1631,12,0
Engineering,Civilengineers,461,0,37,118,111,89,82,24,41.7,Engineering,393,1494,332,1524,61,1343
Engineering,Computerhardwareengineers,80,0,6,18,26,20,8,2,40.3,Engineering,73,1771,60,1793,13,0
