Characteristic,2004_median_weekly_earnings,2004_workers_in_000's
"Total, 16 years and over",638,"101,224"
"Men, 16 years and over",713,"57,001"
"Men, 16 to 24 years",400,"6,243"
"Men, 25 years and over",762,"50,758"
"Women, 16 years and over",573,"44,223"
"Women, 16 to 24 years",375,"4,633"
"Women, 25 years and over",599,"39,590"
White,657,"82,468"
"W, Men",732,"47,495"
"W, Women",584,"34,972"
Black or African American,525,"12,032"
"B/AA, Men",569,"5,706"
"B/AA, Women",505,"6,326"
Asian,708,"4,457"
"A, Men",802,"2,504"
"A, Women",613,"1,953"
Hispanic or Latino ethnicity,456,"14,061"
"H/L, Men",480,"8,996"
"H/L, Women",419,"5,065"
