Characteristic,2007_median_weekly_earnings,2007_workers_in_000's
"Total, 16 years and over",695,"107,339"
"Men, 16 years and over",766,"60,298"
"Men, 16 to 24 years",443,"6,458"
"Men, 25 years and over",823,"53,840"
"Women, 16 years and over",614,"47,041"
"Women, 16 to 24 years",409,"4,792"
"Women, 25 years and over",646,"42,249"
White,716,"86,653"
"W, Men",788,"49,889"
"W, Women",626,"36,764"
Black or African American,569,"13,061"
"B/AA, Men",600,"6,186"
"B/AA, Women",533,"6,874"
Asian,830,"5,155"
"A, Men",936,"2,858"
"A, Women",731,"2,297"
Hispanic or Latino ethnicity,503,"16,201"
"H/L, Men",520,"10,248"
"H/L, Women",473,"5,953"
