Characteristic,2016_workers_in_000's,2016_median_weekly_earnings
"Total, 16 years and over","111,091",832
"Men, 16 years and over","61,930",915
"Men, 16 to 24 years","5,646",512
"Men, 25 years and over","56,284",969
"Women, 16 years and over","49,161",749
"Women, 16 to 24 years","4,430",486
"Women, 25 years and over","44,731",784
White,"86,474",862
"W, Men","49,310",942
"W, Women","37,163",766
Black or African American,"13,963",678
"B/AA, Men","6,728",718
"B/AA, Women","7,235",641
Asian,"7,030","1,021"
"A, Men","3,888","1,151"
"A, Women","3,142",902
Hispanic or Latino ethnicity,"18,950",624
"H/L, Men","11,666",663
"H/L, Women","7,284",586
