Player,Age,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Kent Bazemore,28,16910113,15730338,2000000,2000000,788872,473604,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Schroder,24,15500000,2708582,1763400,1690680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miles Plumlee,29,12500000,12500000,2109294,1169880,1121520,1073280,0,0,0,0,0,0,0,0,0,0,0,0,0
Dewayne Dedmon,28,6000000,2898000,947278,816482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Muscala,26,5000000,1015696,947276,816482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Delaney,29,2500000,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurean Waller-Prince,24,2422560,2318280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Collins,20,1936920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Taylor,23,1312611,305000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Dorsey,22,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Cavanaugh,24,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Crawford,38,10942762,13253012,5675000,5450000,5225000,5000000,5000000,10800000,9360000,0,7920000,0,6480000,5760000,2577937,2026680,1894560,1762320,0
Marco Belinelli,32,6606060,6333333,6333333,2873750,2750000,1957000,3377604,2380270,1547640,0,1345800,0,0,0,0,0,0,0,0
Ersan Ilyasova,30,6000000,8400000,7900000,7900000,7900000,7900000,2541000,2320500,2100000,0,0,664209,398762,0,0,0,0,0,0
Richard Jefferson,37,2500000,2500000,1499000,1448490,11046000,10164000,9282000,8400000,14200000,13200000,12200000,11200000,10200000,2266794,1586280,1482840,1379400,0,0
Mike Dunleavy,37,1662500,4837500,4500000,0,3183000,3750000,3750000,10561984,9780992,9000000,8219008,0,4506261,3565080,3332520,3100080,0,0,0
Okaro White,25,1312611,374933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon Mac,25,1312611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diamond Stone,21,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas Brussino,25,1312611,543471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quinn Cook,25,100000,31969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Evans,30,50000,1227286,1100602,1794871,1660257,1794872,762195,473604,0,0,0,0,0,0,0,0,0,0,0
DeAndre Liggins,29,26773,1015696,0,0,0,762195,473604,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Liggins,30,26773,1015696,0,0,0,762195,473604,0,0,0,0,0,0,0,0,0,0,0,0
Gordon Hayward,28,29727900,16073140,15409570,14746000,3452183,2709720,2532960,2356320,0,0,0,0,0,0,0,0,0,0,0
Al Horford,31,27734405,26540100,12000000,12000000,12000000,12000000,12000000,5444857,4307640,4026720,3745800,0,0,0,0,0,0,0,0
Kyrie Irving,26,18868625,17638063,14746000,7070730,5607240,5530080,5144280,0,0,0,0,0,0,0,0,0,0,0,0
Jayson Tatum,20,5645400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Monroe,27,17884176,17100000,16400000,5479934,4086454,0,3007920,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Morris,28,5000000,4625000,5000000,2943221,1987320,1959960,1823280,0,0,0,0,0,0,0,0,0,0,0,0
Jaylen Brown,21,4956480,4743000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Smart,24,4538020,3578880,3431040,3283320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aron Baynes,31,4328000,6500000,6500000,2077000,788872,401170,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerschon Yabusele,22,2247480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry Rozier,24,1988520,1906440,1824360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Larkin,25,1524305,0,1500000,1606080,1536960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Semi Ojeleye,23,1291892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdel Nader,24,1167333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Theis,25,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demetrius Jackson,23,92858,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarell Eddie,26,17224,102898,561716,29843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen Crabbe,25,19332500,18500000,947276,862000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timofey Mozgov,31,15280000,16000000,4950000,4650000,4400000,3140429,3343896,3567096,0,0,0,0,0,0,0,0,0,0,0
DeMarre Carroll,31,14800000,14200000,13500000,2442455,2557545,0,289382,1085400,1009680,0,0,0,0,0,0,0,0,0,0
Jeremy Lin,29,12000000,11483254,2100000,8374646,8374646,0,762195,473604,0,0,0,0,0,0,0,0,0,0,0
Jahlil Okafor,22,4995120,4788840,4582680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nik Stauskas,24,3807146,2993040,2869440,2745840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dante Cunningham,30,2300000,2978250,3000000,831942,2180000,2090000,2000000,0,457588,0,0,0,0,0,0,0,0,0,0
Jarrett Allen,19,1713720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Acy,27,1709538,1050961,981348,915243,788872,665000,0,0,0,0,0,0,0,0,0,0,0,0,0
Caris LeVert,23,1632480,1562280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Dinwiddie,24,1524305,726672,845059,700000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Harris,26,1524305,980431,845059,884879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rondae Hollis-Jefferson,23,1471382,1395600,1335480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaiah Whitehead,23,1312611,1074145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deron Williams,33,5500000,259626,5500000,19754465,18466130,17177795,16359805,14940152,12323900,5069449,4010640,0,3487400,0,0,0,0,0,0
Sean Kilpatrick,28,1524305,980431,99418,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Howard,32,23500000,23180275,22359364,21436271,20513178,19536360,18091770,16647180,15202590,13758000,6061274,4806720,4493160,4179720,0,0,0,0,0
Nicolas Batum,29,22434783,20869566,12235750,11765500,11295250,10850000,2155365,1196760,1118760,1040640,0,0,0,0,0,0,0,0,0
Marvin Williams,31,13168750,12250000,7000000,0,7500000,8287500,7500000,6712500,7500000,5636143,4466040,4174800,3883560,0,0,0,0,0,0
Michael Kidd-Gilchrist,24,13000000,13000000,6331404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cody Zeller,25,12584270,5318313,4204200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemba Walker,27,12000000,12000000,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeremy Lamb,25,7000000,6511628,3034356,2202000,2111160,2020200,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Monk,20,2904480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frank Kaminsky,24,2847600,2730000,2612500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Carter-Williams,26,2700000,3183526,2399040,2300040,2200920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Julyan Stone,29,1524305,50000,0,0,0,762195,473604,0,0,0,0,0,0,0,0,0,0,0,0
Willy Hernangomez,23,1435750,1375000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Treveon Graham,24,1312611,543471,75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwayne Bacon,22,815615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
