Industry_x,Occupation,"Total, 16
years and
 over","16 to 19 
years","20 to 24 
years","25 to 34 
years","35 to 44 
years","45 to 54 
years","55 to 64 
years","65 years
and over","Median
 age",Industry_y,Total Number of workers,Total Median weekly earnings,"Number of workers, Men","Median weekly earnings, Men","Number of workers, Women","Median weekly earnings, Women"
Computer and Math,Computer and mathematical occupations,3816.0,11.0,213.0,1062.0,1103.0,873.0,461.0,94.0,40.9,Computer & Math,3416.0,1349,2544.0,1414,872.0,1146
Computer and Math,Computer and information research scientists,29.0,0.0,3.0,10.0,4.0,10.0,2.0,0.0,0,Computer & Math,27.0,0,21.0,0,6.0,0
Computer and Math,Computer systems analysts,499.0,1.0,17.0,126.0,123.0,134.0,80.0,19.0,43.4,Computer & Math,440.0,1406,295.0,1477,145.0,1254
Computer and Math,Information security analysts,52.0,0.0,2.0,14.0,17.0,11.0,6.0,1.0,41.4,Computer & Math,51.0,1592,43.0,0,8.0,0
Computer and Math,Computer programmers,480.0,2.0,33.0,113.0,132.0,124.0,66.0,11.0,41.6,Computer & Math,439.0,1324,340.0,1363,100.0,1148
Computer and Math,"Software developers, applications and systems software",1084.0,1.0,53.0,338.0,348.0,226.0,102.0,16.0,39.7,Computer & Math,1005.0,1591,808.0,1674,197.0,1362
Computer and Math,Web developers,190.0,1.0,21.0,72.0,48.0,28.0,16.0,4.0,36.5,Computer & Math,123.0,1082,86.0,1204,36.0,0
Computer and Math,Computer support specialists,476.0,3.0,45.0,130.0,127.0,90.0,72.0,9.0,40.4,Computer & Math,429.0,960,313.0,985,116.0,881
Computer and Math,Database administrators,101.0,0.0,1.0,14.0,35.0,36.0,12.0,3.0,44.8,Computer & Math,97.0,1376,57.0,1657,40.0,0
Computer and Math,Network and computer systems administrators,226.0,0.0,9.0,70.0,81.0,38.0,24.0,4.0,40.1,Computer & Math,204.0,1191,153.0,1253,51.0,1056
Computer and Math,Computer network architects,127.0,1.0,1.0,26.0,49.0,39.0,5.0,6.0,41.8,Computer & Math,115.0,1548,104.0,1569,11.0,0
Computer and Math,"Computer occupations, all other",341.0,3.0,20.0,86.0,89.0,88.0,44.0,12.0,41.8,Computer & Math,288.0,1110,223.0,1155,65.0,887
Computer and Math,Actuaries,26.0,0.0,1.0,8.0,4.0,6.0,5.0,2.0,0,Computer & Math,19.0,0,14.0,0,6.0,0
Computer and Math,Mathematicians,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0,Computer & Math,4.0,0,3.0,0,1.0,0
Computer and Math,Operations research analysts,130.0,0.0,3.0,38.0,29.0,32.0,21.0,7.0,43.1,Computer & Math,127.0,1334,57.0,1551,70.0,1169
Computer and Math,Statisticians,47.0,0.0,1.0,16.0,15.0,10.0,4.0,1.0,0,Computer & Math,44.0,0,26.0,0,18.0,0
Computer and Math,Miscellaneous mathematical science occupations,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,Computer & Math,4.0,0,1.0,0,3.0,0
Engineering,Architecture and engineering occupations,2846.0,11.0,158.0,650.0,628.0,768.0,513.0,120.0,44.6,Engineering,2588.0,1337,2269.0,1358,319.0,1136
Engineering,"Architects, except naval",195.0,0.0,3.0,45.0,42.0,55.0,42.0,8.0,46.1,Engineering,130.0,1325,102.0,1415,29.0,0
Engineering,"Surveyors, cartographers, and photogrammetrists",51.0,0.0,2.0,12.0,11.0,13.0,10.0,1.0,44.8,Engineering,45.0,0,32.0,0,12.0,0
Engineering,Aerospace engineers,119.0,0.0,4.0,23.0,30.0,34.0,24.0,5.0,46.5,Engineering,120.0,1645,111.0,1665,10.0,0
Engineering,Agricultural engineers,4.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0,Engineering,4.0,0,3.0,0,1.0,0
Engineering,Biomedical engineers,10.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,0,Engineering,11.0,0,10.0,0,1.0,0
Engineering,Chemical engineers,71.0,0.0,6.0,17.0,20.0,14.0,12.0,2.0,41.4,Engineering,71.0,1509,61.0,1582,10.0,0
Engineering,Civil engineers,358.0,1.0,25.0,91.0,81.0,85.0,57.0,18.0,43.4,Engineering,334.0,1367,287.0,1428,47.0,0
Engineering,Computer hardware engineers,91.0,0.0,3.0,34.0,16.0,26.0,11.0,1.0,40.7,Engineering,73.0,1548,66.0,1571,7.0,0
Engineering,Electrical and electronics engineers,335.0,0.0,10.0,66.0,78.0,102.0,60.0,19.0,46.4,Engineering,311.0,1550,284.0,1614,27.0,0
Engineering,Environmental engineers,43.0,0.0,1.0,5.0,14.0,10.0,9.0,4.0,0,Engineering,39.0,0,33.0,0,6.0,0
Engineering,"Industrial engineers, including health and safety",197.0,0.0,16.0,43.0,41.0,54.0,39.0,4.0,44.4,Engineering,202.0,1393,167.0,1408,34.0,0
Engineering,Marine engineers and naval architects,8.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0,Engineering,10.0,0,7.0,0,2.0,0
Engineering,Materials engineers,40.0,1.0,2.0,12.0,7.0,12.0,4.0,2.0,0,Engineering,36.0,0,30.0,0,6.0,0
Engineering,Mechanical engineers,288.0,1.0,26.0,63.0,63.0,83.0,43.0,10.0,43.3,Engineering,280.0,1434,270.0,1442,10.0,0
Engineering,"Mining and geological engineers, including mining safety engineers",9.0,0.0,0.0,4.0,1.0,2.0,2.0,1.0,0,Engineering,9.0,0,8.0,0,0.0,0
