Characteristic,2006_median_weekly_earnings,2006_workers_in_000's
"Total, 16 years and over",671,"106,106"
"Men, 16 years and over",743,"59,747"
"Men, 16 to 24 years",418,"6,559"
"Men, 25 years and over",797,"53,188"
"Women, 16 years and over",600,"46,358"
"Women, 16 to 24 years",395,"4,802"
"Women, 25 years and over",627,"41,556"
White,690,"86,055"
"W, Men",761,"49,650"
"W, Women",609,"36,405"
Black or African American,554,"12,745"
"B/AA, Men",591,"6,025"
"B/AA, Women",519,"6,720"
Asian,784,"4,840"
"A, Men",882,"2,717"
"A, Women",699,"2,123"
Hispanic or Latino ethnicity,486,"15,693"
"H/L, Men",505,"10,007"
"H/L, Women",440,"5,686"
