Characteristic,2013_workers_in_000's,2013_median_weekly_earnings
"Total, 16 years and over","104,262",$776
"Men, 16 years and over","57,994",860
"Men, 16 to 24 years","5,207",479
"Men, 25 years and over","52,787",912
"Women, 16 years and over","46,268",706
"Women, 16 to 24 years","4,041",423
"Women, 25 years and over","42,228",740
White,"82,672",802
"W, Men","47,053",884
"W, Women","35,619",722
Black or African American,"12,439",629
"B/AA, Men","5,851",664
"B/AA, Women","6,588",606
Asian,"6,073",942
"A, Men","3,376","1,059"
"A, Women","2,698",819
Hispanic or Latino ethnicity,"16,859",578
"H/L, Men","10,325",594
"H/L, Women","6,534",541
