,,Salary,Salary,Salary,Salary,Salary,Salary,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Kent Bazemore\bazemke01,28,$16910113,$18089887,$19269662,,,,Cap Space,$35000000
Dennis Schroder\schrode01,24,$15500000,$15500000,$15500000,$15500000,,,1st Round Pick,$62000000
Miles Plumlee\plumlmi01,29,$12500000,$12500000,$12500000,,,,Bird Rights,$37500000
Dewayne Dedmon\dedmode01,28,$6000000,$6300000,,,,,Cap space,$6000000
Mike Muscala\muscami01,26,$5000000,$5000000,,,,,Cap space,$5000000
Malcolm Delaney\delanma01,29,$2500000,,,,,,Room Exception,$2500000
Taurean Waller-Prince\princta02,24,$2422560,$2526840,$3481986,,,,1st Round pick,$4949400
John Collins\collijo01,20,$1936920,$2299080,$2686560,$4137302,,,1st Round Pick,$4236000
DeAndre' Bembry\bembrde01,23,$1567200,$1634640,$2603982,,,,1st Round pick,$3201840
Isaiah Taylor\taylois01,23,$1312611,$1544951,,,,,Minimum Salary,$1312611
Tyler Dorsey\dorsety01,22,$815615,$1378242,,,,,Minimum Salary,$2193857
Tyler Cavanaugh\cavanty01,24,$679919,$1378242,,,,,Two-Way Converted,$679919
Damion Lee\leeda03,25,$92160,,,,,,10-Day Contract,
Antonius Cleveland\clevean01,24,,,,,,,,
Andrew White\whitean01,24,TBD,,,,,,Two-Way Contract,TBD
Jaylen Morris\morrija01,22,,,,,,,,
Josh Magette\magetjo01,28,TBD,,,,,,Two-Way Contract,$50000
Jamal Crawford\crawfja01,38,$10942762,$2304226,,,,,,$13246988
Marco Belinelli\belinma01,32,$6306060,,,,,,,$6306060
Ersan Ilyasova\ilyaser01,30,$6000000,,,,,,,$6000000
Richard Jefferson\jefferi01,37,$2500000,,,,,,,$2500000
Mike Dunleavy\dunlemi02,37,$1662500,,,,,,,$1662500
Okaro White\whiteok01,25,$1312611,,,,,,,$1312611
Sheldon Mac\mcclesh01,25,$1312611,,,,,,,$1312611
Diamond Stone\stonedi01,21,$1312611,,,,,,,$1312611
Nicolas Brussino\brussni01,25,$1312611,,,,,,,$1312611
Quinn Cook\cookqu01,25,$100000,,,,,,,$100000
Jaylen Morris\morrija01,22,$92160,,,,,,,
Antonius Cleveland\clevean01,24,$92160,,,,,,,
Jeremy Evans\evansje01,30,$50000,,,,,,,$50000
Tyler Cavanaugh\cavanty01,24,$50000,,,,,,,$50000
DeAndre Liggins\liggide01,29,$26773,,,,,,,$26773
Gordon Hayward\haywago01,28,$29727900,$31214295,$32700690,$34187085,,,Cap space,$93642885
Al Horford\horfoal01,31,$27734405,$28928710,$30123015,,,,Cap Space,$56663115
Kyrie Irving\irvinky01,26,$18868625,$20099188,$21329750,,,,Bird Rights,$38967813
Jayson Tatum\tatumja01,20,$5645400,$6700800,$7830000,$9897120,,,1st Round Pick,$12346200
Greg Monroe\monrogr01,27,$5000000,,,,,,Disabled Player Exception,$5000000
Marcus Morris\morrima03,28,$5000000,$5375000,,,,,Bird Rights,$10375000
Jaylen Brown\brownja02,21,$4956480,$5169960,$6534829,,,,1st Rd pick,$10126440
Marcus Smart\smartma01,24,$4538020,,,,,,1st Round Pick,$4538020
Aron Baynes\baynear01,31,$4328000,,,,,,Room Exception,$4328000
Guerschon Yabusele\yabusgu01,22,$2247480,$2667600,$3117240,$4781846,,,1st Round Pick,$4915080
Terry Rozier\roziete01,24,$1988520,$3050390,,,,,1st round pick,$5038910
Shane Larkin\larkish01,25,$1524305,,,,,,Minimum Salary,$1524305
Semi Ojeleye\ojelese01,23,$1291892,$1378242,$1618520,$1752950,,,,$2193857
Abdel Nader\naderab01,24,$1167333,$1378242,$1618520,$1752950,,,,$1617333
Daniel Theis\theisda01,25,$815615,$1378242,,,,,Minimum Salary,$815615
Xavier Silas\silasxa01,30,$74159,,,,,,10-Day Contract,
Kadeem Allen\allenka01,25,TBD,,,,,,Two-Way Contract,$50000
Jabari Bird\birdja01,23,TBD,,,,,,Two-Way Contract,$50000
Demetrius Jackson\jacksde01,23,$92858,$92857,$92857,$92857,$92857,$92857,,$650000
Jarell Eddie\eddieja01,26,$83129,,,,,,,$83129
Allen Crabbe\crabbal01,25,$19332500,$18500000,$18500000,,,,Cap Space,$37832500
Timofey Mozgov\mozgoti01,31,$15280000,$16000000,$16720000,,,,Cap Space,$48000000
DeMarre Carroll\carrode01,31,$14800000,$15400000,,,,,Cap Space,$30200000
Jeremy Lin\linje01,29,$12000000,$12516746,,,,,Cap Space,$24516746
D'Angelo Russell\russeda01,22,$5562360,$7019698,,,,,1st round pick,$12582058
Jahlil Okafor\okafoja01,22,$4995120,,,,,,1st round pick,$4995120
Nik Stauskas\stausni01,24,$3807146,,,,,,1st Round Pick,$3807146
Dante Cunningham\cunnida01,30,$2300000,,,,,,MLE,$2300000
Jarrett Allen\allenja01,19,$1713720,$2034120,$2376840,$3909902,,,1st Round Pick,$3747840
Quincy Acy\acyqu01,27,$1709538,,,,,,Cap space,
Caris LeVert\leverca01,23,$1632480,$1702800,$2625718,,,,1st Round pick,$3335280
Spencer Dinwiddie\dinwisp01,24,$1524305,$1656092,,,,,Minimum Salary,$1524305
Joe Harris\harrijo01,26,$1524305,,,,,,Minimum Salary,$1524305
Rondae Hollis-Jefferson\holliro01,23,$1471382,$2470357,,,,,1st Round pick,$3941739
Isaiah Whitehead\whiteis01,23,$1312611,$1544951,$1676735,,,,Cap Space,$1312611
James Webb\webbja01,24,TBD,,,,,,Two-Way Contract,TBD
Milton Doyle\doylemi01,24,TBD,,,,,,Two-Way Contract,TBD
Jacob Wiley\wileyja01,23,TBD,,,,,,Two-Way Contract,$50000
Deron Williams\willide01,33,$5500000,$5500000,$5500000,,,,,$16500000
Sean Kilpatrick\kilpase01,28,$1524305,,,,,,,$1524305
Yakuba Ouattara\ouattya01,26,$50000,,,,,,,$50000
Dwight Howard\howardw01,32,$23500000,$23819725,,,,,Cap Space,$47319725
Nicolas Batum\batumni01,29,$22434783,$24000000,$25565217,$27130434,,,Cap Space,$72000000
Marvin Williams\willima02,31,$13168750,$14087500,$15006250,,,,Cap Space,$27256250
Michael Kidd-Gilchrist\kiddgmi01,24,$13000000,$13000000,$13000000,,,,1st Round Pick,$26000000
Cody Zeller\zelleco01,25,$12584270,$13528090,$14471910,$15415730,,,1st Round Pick,$56000000
Kemba Walker\walkeke02,27,$12000000,$12000000,,,,,1st Round Pick,$24000000
Jeremy Lamb\lambje01,25,$7000000,$7488372,,,,,Rookie scale extension,$14488372
Malik Monk\monkma01,20,$2904480,$3447480,$4028400,$5345687,,,1st Round Pick,$6351960
Frank Kaminsky\kaminfr01,24,$2847600,$3627842,,,,,1st round pick,$6475442
Michael Carter-Williams\cartemi01,26,$2700000,,,,,,Bi-annual Exception,$2700000
Julyan Stone\stoneju01,29,$1524305,$1656092,,,,,Minimum Salary,$1524305
Willy Hernangomez\hernawi01,23,$1435750,$1544951,$1701735,,,,Cap Space,$2980701
Treveon Graham\grahatr01,24,$1312611,,,,,,Minimum Salary,$1312611
Dwayne Bacon\bacondw01,22,$815615,$1378242,$1618520,,,,MLE,$2193857
Marcus Paige\paigema01,24,TBD,,,,,,Two-Way Contract,$50000
Mangok Mathiang\mathima01,25,TBD,,,,,,Two-Way Contract,$50000
Robin Lopez\lopezro01,29,$13788500,$14357750,,,,,Cap Space,$28146250
Omer Asik\asikom01,31,$10595505,$11286516,$11977527,,,,Bird Rights,$24882021
Cristiano Felicio\feliccr01,25,$7843500,$8470980,$8156500,$7529020,,,Cap space,$32000000
Justin Holiday\holidju01,28,$4615385,$4384616,,,,,MLE,$9000001
Kris Dunn\dunnkr01,24,$4046760,$4221000,$5348007,,,,1st Round pick,$8267760
Lauri Markkanen\markkla01,20,$3821640,$4536120,$5300400,$6731508,,,1st Round Pick,$8357760
Noah Vonleh\vonleno01,22,$3505233,,,,,,1st Round Pick,$3505233
Zach LaVine\lavinza01,23,$3202217,,,,,,1st Round Pick,$3202217
Cameron Payne\payneca01,23,$2203440,$3263295,,,,,1st round pick,$5466735
Denzel Valentine\valende01,24,$2186400,$2280600,$3377569,,,,1st Round pick,$4467000
Jerian Grant\grantje02,25,$1713840,$2639314,,,,,1st Round pick,$4353154
Bobby Portis\portibo01,23,$1516320,$2494346,,,,,1st Round pick,$4010666
Paul Zipser\zipsepa01,24,$1312611,$1544951,$1676735,,,,Cap Space,$1312611
David Nwaba\nwabada01,25,$1312611,,,,,,Minimum Salary,$1312611
Antonio Blakeney\blakean01,21,TBD,,,,,,Two-Way Contract,$50000
Sean Kilpatrick\kilpase01,28,,,,,,,Mid-Level Exception,
Ryan Arcidiacono\arcidry01,24,TBD,,,,,,Two-Way Contract,$50000
Dwyane Wade\wadedw01,36,$15550000,,,,,,,$15550000
Quincy Pondexter\pondequ01,30,$3853931,,,,,,,$3853931
Rajon Rondo\rondora01,32,$3000000,,,,,,,$3000000
Tony Allen\allento01,36,$2116955,,,,,,,$2116955
Willie Reed\reedwi02,27,$1577230,,,,,,,$1577230
Kay Felder\feldeka01,23,$1312611,$1544951,,,,,,$456529
Isaiah Canaan\canaais01,26,$200000,,,,,,,$200000
Jarell Eddie\eddieja01,26,$83129,,,,,,,
Diamond Stone\stonedi01,21,$50000,,,,,,,$50000
Jarell Eddie\eddieja01,26,$17224,,,,,,,$17224
C.J. Fair\faircj02,26,,,,,,,,
Jaylen Johnson\johnsja04,21,,,,,,,,
LeBron James\jamesle01,33,$33285709,$35607968,,,,,Early Bird,$33285709
Kevin Love\loveke01,29,$22642350,$24119025,$25595700,,,,Bird Rights,$46761375
George Hill\hillge01,31,$20000000,$19000000,$18000000,,,,Cap space,$40000000
Tristan Thompson\thomptr01,27,$16400000,$17469565,$18539130,,,,Bird Rights,$52408695
J.R. Smith\smithjr01,32,$13760000,$14720000,$15680000,,,,Bird Rights,$32350000
Jordan Clarkson\clarkjo01,25,$11562500,$12500000,$13437500,,,,Cap Space,$37500000
Kyle Korver\korveky01,37,$7000000,$7560000,$7500000,,,,Bird Rights,$18000000
Cedi Osman\osmande01,22,$2642857,$2775000,$2907143,,,,MLE,$8325000
Rodney Hood\hoodro01,25,$2386864,,,,,,1st Round Pick,$2386864
Jose Calderon\caldejo01,36,$2328652,,,,,,Minimum Salary,$2328652
Jeff Green\greenje02,31,$2116955,,,,,,Minimum Salary,$2116955
Ante Zizic\zizican01,21,$1645200,$1952760,$2281800,$3872215,,,1st Round Pick,$3597960
Larry Nance\nancela02,25,$1471382,$2272391,,,,,1st Round pick,$3743773
London Perrantes\perralo01,23,TBD,,,,,,Two-Way Contract,$74718
John Holland\hollajo02,29,TBD,,,,,,Two-Way Contract,$50000
Okaro White\whiteok01,25,$74159,,,,,,,
Marcus Thornton\thornma02,25,$46080,,,,,,,
Harrison Barnes\barneha02,25,$23112004,$24107258,$25102512,,,,Cap Space,$47219262
Wesley Matthews\matthwe02,31,$17884176,$18622514,,,,,Cap Space,$17884176
Dwight Powell\poweldw01,26,$9003125,$9631250,$10259375,,,,Cap Space,$18634375
Dirk Nowitzki\nowitdi01,39,$5000000,$5000000,,,,,Cap space,$5000000
Nerlens Noel\noelne01,23,$4187599,,,,,,1st Round Pick,$4187599
J.J. Barea\bareajo01,33,$3903900,$3710850,,,,,Cap Space,$7614750
Doug McDermott\mcderdo01,26,$3294994,,,,,,1st Round Pick,$3294994
Dennis Smith\smithde03,20,$3218280,$3819960,$4463640,$5686677,,,1st Round Pick,$7038240
Seth Curry\curryse01,27,$3028410,,,,,,Room exception,$3028410
Salah Mejri\mejrisa01,31,$1471382,,,,,,Minimum Salary,$1471382
Yogi Ferrell\ferreyo01,24,$1312611,,,,,,Minimum Salary,$1312611
Dorian Finney-Smith\finnedo01,24,$1312611,$1544951,,,,,Minimum Salary,$1312611
Maxi Kleber\klebima01,26,$815615,$1378242,,,,,Minimum Salary,$815615
Aaron Harrison\harriaa01,23,$83129,,,,,,10-Day Contract,
Jalen Jones\jonesja04,24,TBD,,,,,,Two-Way Contract,TBD
Johnathan Motley\motlejo01,22,TBD,,,,,,Two-Way Contract,$50000
Kyle Collinsworth\colliky01,26,,,,,,,Minimum Salary,
Josh McRoberts\mcrobjo01,31,$6021175,,,,,,,$6021175
Jeff Withey\witheje01,28,$1577320,$1795015,,,,,,$350000
Gal Mekel\mekelga01,30,$315760,,,,,,,$315760
Kyle Collinsworth\colliky01,26,$92160,,,,,,,$92160
Scotty Hopson\hopsosc01,28,$74159,,,,,,,
Kyle Collinsworth\colliky01,26,$50000,,,,,,,$50000
Gian Clavell\clavegi01,24,$50000,,,,,,,$50000
Antonius Cleveland\clevean01,24,$50000,,,,,,,$50000
Jameel Warney\warneja01,24,$46080,,,,,,,
Paul Millsap\millspa01,33,$31269231,$29730769,$30500000,,,,Cap space,$61000000
Mason Plumlee\plumlma01,28,$14041096,$12917808,$14041096,,,,Cap space,$41000000
