,,Salary,Salary,Salary,Salary,Salary,Salary,,
Player,Age,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
Kent Bazemore,28,"$16,910,113 ","$18,089,887 ","$19,269,662 ",,,,Cap Space,"$35,000,000 "
Dennis Schroder,24,"$15,500,000 ","$15,500,000 ","$15,500,000 ","$15,500,000 ",,,1st Round Pick,"$62,000,000 "
Miles Plumlee,29,"$12,500,000 ","$12,500,000 ","$12,500,000 ",,,,Bird Rights,"$37,500,000 "
Dewayne Dedmon,28,"$6,000,000 ","$6,300,000 ",,,,,Cap space,"$6,000,000 "
Mike Muscala,26,"$5,000,000 ","$5,000,000 ",,,,,Cap space,"$5,000,000 "
Malcolm Delaney,29,"$2,500,000 ",,,,,,Room Exception,"$2,500,000 "
Taurean Waller-Prince,24,"$2,422,560 ","$2,526,840 ","$3,481,986 ",,,,1st Round pick,"$4,949,400 "
John Collins,20,"$1,936,920 ","$2,299,080 ","$2,686,560 ","$4,137,302 ",,,1st Round Pick,"$4,236,000 "
DeAndre' Bembry,23,"$1,567,200 ","$1,634,640 ","$2,603,982 ",,,,1st Round pick,"$3,201,840 "
Isaiah Taylor,23,"$1,312,611 ","$1,544,951 ",,,,,Minimum Salary,"$1,312,611 "
Tyler Dorsey,22,"$815,615 ","$1,378,242 ",,,,,Minimum Salary,"$2,193,857 "
Tyler Cavanaugh,24,"$679,919 ","$1,378,242 ",,,,,Two-Way Converted,"$679,919 "
Damion Lee,25,"$92,160 ",,,,,,10-Day Contract,
Antonius Cleveland,24,,,,,,,,
Andrew White,24,TBD,,,,,,Two-Way Contract,TBD
Jaylen Morris,22,,,,,,,,
Josh Magette,28,TBD,,,,,,Two-Way Contract,"$50,000 "
Jamal Crawford,38,"$10,942,762 ","$2,304,226 ",,,,,,"$13,246,988 "
Marco Belinelli,32,"$6,306,060 ",,,,,,,"$6,306,060 "
Ersan Ilyasova,30,"$6,000,000 ",,,,,,,"$6,000,000 "
Richard Jefferson,37,"$2,500,000 ",,,,,,,"$2,500,000 "
Mike Dunleavy,37,"$1,662,500 ",,,,,,,"$1,662,500 "
Okaro White,25,"$1,312,611 ",,,,,,,"$1,312,611 "
Sheldon Mac,25,"$1,312,611 ",,,,,,,"$1,312,611 "
Diamond Stone,21,"$1,312,611 ",,,,,,,"$1,312,611 "
Nicolas Brussino,25,"$1,312,611 ",,,,,,,"$1,312,611 "
Quinn Cook,25,"$100,000 ",,,,,,,"$100,000 "
Jaylen Morris,22,"$92,160 ",,,,,,,
Antonius Cleveland,24,"$92,160 ",,,,,,,
Jeremy Evans,30,"$50,000 ",,,,,,,"$50,000 "
Tyler Cavanaugh,24,"$50,000 ",,,,,,,"$50,000 "
DeAndre Liggins,29,"$26,773 ",,,,,,,"$26,773 "
Gordon Hayward,28,"$29,727,900 ","$31,214,295 ","$32,700,690 ","$34,187,085 ",,,Cap space,"$93,642,885 "
Al Horford,31,"$27,734,405 ","$28,928,710 ","$30,123,015 ",,,,Cap Space,"$56,663,115 "
Kyrie Irving,26,"$18,868,625 ","$20,099,188 ","$21,329,750 ",,,,Bird Rights,"$38,967,813 "
Jayson Tatum,20,"$5,645,400 ","$6,700,800 ","$7,830,000 ","$9,897,120 ",,,1st Round Pick,"$12,346,200 "
Greg Monroe,27,"$5,000,000 ",,,,,,Disabled Player Exception,"$5,000,000 "
Marcus Morris,28,"$5,000,000 ","$5,375,000 ",,,,,Bird Rights,"$10,375,000 "
Jaylen Brown,21,"$4,956,480 ","$5,169,960 ","$6,534,829 ",,,,1st Rd pick,"$10,126,440 "
Marcus Smart,24,"$4,538,020 ",,,,,,1st Round Pick,"$4,538,020 "
Aron Baynes,31,"$4,328,000 ",,,,,,Room Exception,"$4,328,000 "
