Player,Age,2017-18
Kent Bazemore,28,"$16,910,113 "
Dennis Schroder,24,"$15,500,000 "
Miles Plumlee,29,"$12,500,000 "
Dewayne Dedmon,28,"$6,000,000 "
Mike Muscala,26,"$5,000,000 "
Malcolm Delaney,29,"$2,500,000 "
Taurean Waller-Prince,24,"$2,422,560 "
John Collins,20,"$1,936,920 "
DeAndre' Bembry,23,"$1,567,200 "
Isaiah Taylor,23,"$1,312,611 "
Tyler Dorsey,22,"$815,615 "
Tyler Cavanaugh,24,"$679,919 "
Damion Lee,25,"$92,160 "
Jamal Crawford,38,"$10,942,762 "
Marco Belinelli,32,"$6,306,060 "
Ersan Ilyasova,30,"$6,000,000 "
Richard Jefferson,37,"$2,500,000 "
Mike Dunleavy,37,"$1,662,500 "
Okaro White,25,"$1,312,611 "
Sheldon Mac,25,"$1,312,611 "
Diamond Stone,21,"$1,312,611 "
Nicolas Brussino,25,"$1,312,611 "
Quinn Cook,25,"$100,000 "
Jaylen Morris,22,"$92,160 "
Antonius Cleveland,24,"$92,160 "
Jeremy Evans,30,"$50,000 "
Tyler Cavanaugh,24,"$50,000 "
DeAndre Liggins,29,"$26,773 "
Gordon Hayward,28,"$29,727,900 "
Al Horford,31,"$27,734,405 "
Kyrie Irving,26,"$18,868,625 "
Jayson Tatum,20,"$5,645,400 "
Greg Monroe,27,"$5,000,000 "
Marcus Morris,28,"$5,000,000 "
Jaylen Brown,21,"$4,956,480 "
Marcus Smart,24,"$4,538,020 "
Aron Baynes,31,"$4,328,000 "
Guerschon Yabusele,22,"$2,247,480 "
Terry Rozier,24,"$1,988,520 "
Shane Larkin,25,"$1,524,305 "
Semi Ojeleye,23,"$1,291,892 "
Abdel Nader,24,"$1,167,333 "
Daniel Theis,25,"$815,615 "
Xavier Silas,30,"$74,159 "
Demetrius Jackson,23,"$92,858 "
Jarell Eddie,26,"$83,129 "
Allen Crabbe,25,"$19,332,500 "
Timofey Mozgov,31,"$15,280,000 "
DeMarre Carroll,31,"$14,800,000 "
Jeremy Lin,29,"$12,000,000 "
D'Angelo Russell,22,"$5,562,360 "
Jahlil Okafor,22,"$4,995,120 "
Nik Stauskas,24,"$3,807,146 "
Dante Cunningham,30,"$2,300,000 "
Jarrett Allen,19,"$1,713,720 "
Quincy Acy,27,"$1,709,538 "
Caris LeVert,23,"$1,632,480 "
Spencer Dinwiddie,24,"$1,524,305 "
Joe Harris,26,"$1,524,305 "
