player,salary,season_end,season_start,team,team_name
Kent Bazemore,16910113,2018,2017,ATL,Atlanta Hawks
Dennis Schroder,15500000,2018,2017,ATL,Atlanta Hawks
Miles Plumlee,12500000,2018,2017,ATL,Atlanta Hawks
Jamal Crawford,10942762,2018,2017,ATL,Atlanta Hawks
Marco Belinelli,6606060,2018,2017,ATL,Atlanta Hawks
Dewayne Dedmon,6000000,2018,2017,ATL,Atlanta Hawks
Ersan Ilyasova,6000000,2018,2017,ATL,Atlanta Hawks
Mike Muscala,5000000,2018,2017,ATL,Atlanta Hawks
Malcolm Delaney,2500000,2018,2017,ATL,Atlanta Hawks
Richard Jefferson,2500000,2018,2017,ATL,Atlanta Hawks
Taurean Waller-Prince,2422560,2018,2017,ATL,Atlanta Hawks
Luke Babbitt,1974159,2018,2017,ATL,Atlanta Hawks
John Collins,1936920,2018,2017,ATL,Atlanta Hawks
Mike Dunleavy,1662500,2018,2017,ATL,Atlanta Hawks
DeAndre\' Bembry,1567200,2018,2017,ATL,Atlanta Hawks
Nicolas Brussino,1312611,2018,2017,ATL,Atlanta Hawks
Diamond Stone,1312611,2018,2017,ATL,Atlanta Hawks
Isaiah Taylor,1312611,2018,2017,ATL,Atlanta Hawks
Tyler Dorsey,815615,2018,2017,ATL,Atlanta Hawks
Quinn Cook,100000,2018,2017,ATL,Atlanta Hawks
Jeremy Evans,50000,2018,2017,ATL,Atlanta Hawks
Tyler Cavanaugh,50000,2018,2017,ATL,Atlanta Hawks
DeAndre Liggins,26773,2018,2017,ATL,Atlanta Hawks
Gordon Hayward,29727900,2018,2017,BOS,Boston Celtic
Al Horford,27734405,2018,2017,BOS,Boston Celtic
Kyrie Irving,18868625,2018,2017,BOS,Boston Celtic
Jayson Tatum,5645400,2018,2017,BOS,Boston Celtic
Marcus Morris,5000000,2018,2017,BOS,Boston Celtic
Jaylen Brown,4956480,2018,2017,BOS,Boston Celtic
Marcus Smart,4538020,2018,2017,BOS,Boston Celtic
Aron Baynes,4328000,2018,2017,BOS,Boston Celtic
Guerschon Yabusele,2247480,2018,2017,BOS,Boston Celtic
Terry Rozier,1988520,2018,2017,BOS,Boston Celtic
Shane Larkin,1524305,2018,2017,BOS,Boston Celtic
Semi Ojeleye,1291892,2018,2017,BOS,Boston Celtic
Abdel Nader,1167333,2018,2017,BOS,Boston Celtic
Daniel Theis,815615,2018,2017,BOS,Boston Celtic
Demetrius Jackson,92858,2018,2017,BOS,Boston Celtic
Dwight Howard,23500000,2018,2017,CHA,Charlotte Hornets
Nicolas Batum,22434783,2018,2017,CHA,Charlotte Hornets
Marvin Williams,13168750,2018,2017,CHA,Charlotte Hornets
Michael Kidd-Gilchrist,13000000,2018,2017,CHA,Charlotte Hornets
Cody Zeller,12584270,2018,2017,CHA,Charlotte Hornets
Kemba Walker,12000000,2018,2017,CHA,Charlotte Hornets
Jeremy Lamb,7000000,2018,2017,CHA,Charlotte Hornets
Malik Monk,2904480,2018,2017,CHA,Charlotte Hornets
Frank Kaminsky,2847600,2018,2017,CHA,Charlotte Hornets
Michael Carter-Williams,2700000,2018,2017,CHA,Charlotte Hornets
Johnny O\'Bryant,1524305,2018,2017,CHA,Charlotte Hornets
Julyan Stone,1524305,2018,2017,CHA,Charlotte Hornets
Treveon Graham,1312611,2018,2017,CHA,Charlotte Hornets
Dwayne Bacon,815615,2018,2017,CHA,Charlotte Hornets
Dwyane Wade,15550000,2018,2017,CHI,Chicago Bulls
Robin Lopez,13788500,2018,2017,CHI,Chicago Bulls
Nikola Mirotic,12500000,2018,2017,CHI,Chicago Bulls
Cristiano Felicio,7843500,2018,2017,CHI,Chicago Bulls
Justin Holiday,4615385,2018,2017,CHI,Chicago Bulls
Kris Dunn,4046760,2018,2017,CHI,Chicago Bulls
Quincy Pondexter,3853931,2018,2017,CHI,Chicago Bulls
Lauri Markkanen,3821640,2018,2017,CHI,Chicago Bulls
Zach LaVine,3202217,2018,2017,CHI,Chicago Bulls
Rajon Rondo,3000000,2018,2017,CHI,Chicago Bulls
Cameron Payne,2203440,2018,2017,CHI,Chicago Bulls
Denzel Valentine,2186400,2018,2017,CHI,Chicago Bulls
Jerian Grant,1713840,2018,2017,CHI,Chicago Bulls
Bobby Portis,1516320,2018,2017,CHI,Chicago Bulls
Paul Zipser,1312611,2018,2017,CHI,Chicago Bulls
Kay Felder,1312611,2018,2017,CHI,Chicago Bulls
David Nwaba,1312611,2018,2017,CHI,Chicago Bulls
Isaiah Canaan,200000,2018,2017,CHI,Chicago Bulls
Diamond Stone,50000,2018,2017,CHI,Chicago Bulls
Jarell Eddie,17224,2018,2017,CHI,Chicago Bulls
LeBron James,33285709,2018,2017,CLE,Cleveland Caveliers
Kevin Love,22642350,2018,2017,CLE,Cleveland Caveliers
Tristan Thompson,16400000,2018,2017,CLE,Cleveland Caveliers
J.R. Smith,13760000,2018,2017,CLE,Cleveland Caveliers
Iman Shumpert,10337079,2018,2017,CLE,Cleveland Caveliers
Channing Frye,7420912,2018,2017,CLE,Cleveland Caveliers
Kyle Korver,7000000,2018,2017,CLE,Cleveland Caveliers
Jae Crowder,6796117,2018,2017,CLE,Cleveland Caveliers
Isaiah Thomas,6261395,2018,2017,CLE,Cleveland Caveliers
Cedi Osman,2642857,2018,2017,CLE,Cleveland Caveliers
Dwyane Wade,2328652,2018,2017,CLE,Cleveland Caveliers
Jose Calderon,2328652,2018,2017,CLE,Cleveland Caveliers
Jeff Green,2116955,2018,2017,CLE,Cleveland Caveliers
Derrick Rose,2116955,2018,2017,CLE,Cleveland Caveliers
Ante Zizic,1645200,2018,2017,CLE,Cleveland Caveliers
Harrison Barnes,23112004,2018,2017,DAL,Dallas Mavericks
Wesley Matthews,17884176,2018,2017,DAL,Dallas Mavericks
Dwight Powell,9003125,2018,2017,DAL,Dallas Mavericks
Josh McRoberts,6021175,2018,2017,DAL,Dallas Mavericks
Dirk Nowitzki,5000000,2018,2017,DAL,Dallas Mavericks
Devin Harris,4402546,2018,2017,DAL,Dallas Mavericks
Nerlens Noel,4187599,2018,2017,DAL,Dallas Mavericks
J.J. Barea,3903900,2018,2017,DAL,Dallas Mavericks
Dennis Smith,3218280,2018,2017,DAL,Dallas Mavericks
Seth Curry,3028410,2018,2017,DAL,Dallas Mavericks
Jeff Withey,1577320,2018,2017,DAL,Dallas Mavericks
Salah Mejri,1471382,2018,2017,DAL,Dallas Mavericks
Dorian Finney-Smith,1312611,2018,2017,DAL,Dallas Mavericks
Yogi Ferrell,1312611,2018,2017,DAL,Dallas Mavericks
Maxi Kleber,815615,2018,2017,DAL,Dallas Mavericks
Gal Mekel,315760,2018,2017,DAL,Dallas Mavericks
Gian Clavell,50000,2018,2017,DAL,Dallas Mavericks
Paul Millsap,31269231,2018,2017,DEN,Denver Nuggets
Mason Plumlee,14041096,2018,2017,DEN,Denver Nuggets
Kenneth Faried,12921348,2018,2017,DEN,Denver Nuggets
Wilson Chandler,12016854,2018,2017,DEN,Denver Nuggets
Darrell Arthur,7464912,2018,2017,DEN,Denver Nuggets
Jameer Nelson,4736050,2018,2017,DEN,Denver Nuggets
Will Barton,3533333,2018,2017,DEN,Denver Nuggets
Emmanuel Mudiay,3381480,2018,2017,DEN,Denver Nuggets
Jamal Murray,3355320,2018,2017,DEN,Denver Nuggets
Gary Harris,2550055,2018,2017,DEN,Denver Nuggets
Trey Lyles,2441400,2018,2017,DEN,Denver Nuggets
Richard Jefferson,2328652,2018,2017,DEN,Denver Nuggets
Juan Hernangomez,2076840,2018,2017,DEN,Denver Nuggets
Malik Beasley,1700640,2018,2017,DEN,Denver Nuggets
Tyler Lydon,1579440,2018,2017,DEN,Denver Nuggets
Nikola Jokic,1471382,2018,2017,DEN,Denver Nuggets
Andre Drummond,23775506,2018,2017,DET,Detroit Pistons
Tobias Harris,16000000,2018,2017,DET,Detroit Pistons
Reggie Jackson,16000000,2018,2017,DET,Detroit Pistons
Jon Leuer,10497319,2018,2017,DET,Detroit Pistons
Avery Bradley,8808989,2018,2017,DET,Detroit Pistons
Boban Marjanovic,7000000,2018,2017,DET,Detroit Pistons
Langston Galloway,6666667,2018,2017,DET,Detroit Pistons
Ish Smith,6000000,2018,2017,DET,Detroit Pistons
Josh Smith,5400000,2018,2017,DET,Detroit Pistons
Anthony Tolliver,3290000,2018,2017,DET,Detroit Pistons
Stanley Johnson,3097800,2018,2017,DET,Detroit Pistons
Luke Kennard,2759280,2018,2017,DET,Detroit Pistons
Reggie Bullock,2500000,2018,2017,DET,Detroit Pistons
Henry Ellenson,1780800,2018,2017,DET,Detroit Pistons
Eric Moreland,1739333,2018,2017,DET,Detroit Pistons
Michael Gbinije,500000,2018,2017,DET,Detroit Pistons
Aaron Gray,452059,2018,2017,DET,Detroit Pistons
Beno Udrih,25000,2018,2017,DET,Detroit Pistons
Stephen Curry,34682550,2018,2017,GSW,Golden State Warriors
Kevin Durant,25000000,2018,2017,GSW,Golden State Warriors
Klay Thompson,17826150,2018,2017,GSW,Golden State Warriors
Draymond Green,16400000,2018,2017,GSW,Golden State Warriors
Andre Iguodala,14814815,2018,2017,GSW,Golden State Warriors
Shaun Livingston,7692308,2018,2017,GSW,Golden State Warriors
Nick Young,5192000,2018,2017,GSW,Golden State Warriors
Zaza Pachulia,3477600,2018,2017,GSW,Golden State Warriors
David West,2328652,2018,2017,GSW,Golden State Warriors
JaVale McGee,2116955,2018,2017,GSW,Golden State Warriors
Omri Casspi,2106470,2018,2017,GSW,Golden State Warriors
Kevon Looney,1471382,2018,2017,GSW,Golden State Warriors
Patrick McCaw,1312611,2018,2017,GSW,Golden State Warriors
Damian Jones,1312611,2018,2017,GSW,Golden State Warriors
Jason Thompson,945126,2018,2017,GSW,Golden State Warriors
Jordan Bell,815615,2018,2017,GSW,Golden State Warriors
James Harden,28299399,2018,2017,HOU,Houston Rockets
Chris Paul,24599495,2018,2017,HOU,Houston Rockets
Ryan Anderson,19578455,2018,2017,HOU,Houston Rockets
Eric Gordon,12943020,2018,2017,HOU,Houston Rockets
P.J. Tucker,7590035,2018,2017,HOU,Houston Rockets
Trevor Ariza,7420912,2018,2017,HOU,Houston Rockets
Nene Hilario,3477600,2018,2017,HOU,Houston Rockets
Tarik Black,3290000,2018,2017,HOU,Houston Rockets
Clint Capela,2334520,2018,2017,HOU,Houston Rockets
Luc Mbah a Moute,2116955,2018,2017,HOU,Houston Rockets
Bobby Brown,1524305,2018,2017,HOU,Houston Rockets
Troy Williams,1471382,2018,2017,HOU,Houston Rockets
Chinanu Onuaku,1312611,2018,2017,HOU,Houston Rockets
Zhou Qi,815615,2018,2017,HOU,Houston Rockets
Cameron Oliver,300000,2018,2017,HOU,Houston Rockets
Isaiah Canaan,53465,2018,2017,HOU,Houston Rockets
Chris Johnson,25000,2018,2017,HOU,Houston Rockets
Victor Oladipo,21000000,2018,2017,IND,Indiana Pacers
Thaddeus Young,14796348,2018,2017,IND,Indiana Pacers
Bojan Bogdanovic,10500000,2018,2017,IND,Indiana Pacers
Darren Collison,10000000,2018,2017,IND,Indiana Pacers
Al Jefferson,9769821,2018,2017,IND,Indiana Pacers
Cory Joseph,7630000,2018,2017,IND,Indiana Pacers
Lance Stephenson,4180000,2018,2017,IND,Indiana Pacers
Myles Turner,2569920,2018,2017,IND,Indiana Pacers
Domantas Sabonis,2550000,2018,2017,IND,Indiana Pacers
Monta Ellis,2245400,2018,2017,IND,Indiana Pacers
Damien Wilkins,2116955,2018,2017,IND,Indiana Pacers
T.J. Leaf,2028360,2018,2017,IND,Indiana Pacers
Glenn Robinson,1524305,2018,2017,IND,Indiana Pacers
Joe Young,1471382,2018,2017,IND,Indiana Pacers
Ike Anigbogu,950000,2018,2017,IND,Indiana Pacers
Rakeem Christmas,172552,2018,2017,IND,Indiana Pacers
Georges Niang,100000,2018,2017,IND,Indiana Pacers
Blake Griffin,29512900,2018,2017,LAC,Los Angeles Clippers
DeAndre Jordan,22642350,2018,2017,LAC,Los Angeles Clippers
Danilo Gallinari,20559599,2018,2017,LAC,Los Angeles Clippers
Austin Rivers,11825000,2018,2017,LAC,Los Angeles Clippers
Lou Williams,7000000,2018,2017,LAC,Los Angeles Clippers
Milos Teodosic,6000000,2018,2017,LAC,Los Angeles Clippers
Wesley Johnson,5881260,2018,2017,LAC,Los Angeles Clippers
Patrick Beverley,5513514,2018,2017,LAC,Los Angeles Clippers
Sam Dekker,1794600,2018,2017,LAC,Los Angeles Clippers
Willie Reed,1577230,2018,2017,LAC,Los Angeles Clippers
Montrezl Harrell,1471382,2018,2017,LAC,Los Angeles Clippers
Brice Johnson,1331160,2018,2017,LAC,Los Angeles Clippers
Paul Pierce,1096080,2018,2017,LAC,Los Angeles Clippers
Jawun Evans,815615,2018,2017,LAC,Los Angeles Clippers
Sindarius Thornwell,815615,2018,2017,LAC,Los Angeles Clippers
Carlos Delfino,650000,2018,2017,LAC,Los Angeles Clippers
Jordan Farmar,510921,2018,2017,LAC,Los Angeles Clippers
Miroslav Raduljica,300000,2018,2017,LAC,Los Angeles Clippers
Brook Lopez,22642350,2018,2017,LAL,Los Angeles Lakers
Kentavious Caldwell-Pope,17745894,2018,2017,LAL,Los Angeles Lakers
Luol Deng,17190000,2018,2017,LAL,Los Angeles Lakers
Jordan Clarkson,11562500,2018,2017,LAL,Los Angeles Lakers
Corey Brewer,7579366,2018,2017,LAL,Los Angeles Lakers
Lonzo Ball,6286560,2018,2017,LAL,Los Angeles Lakers
Brandon Ingram,5519400,2018,2017,LAL,Los Angeles Lakers
Julius Randle,4149242,2018,2017,LAL,Los Angeles Lakers
Andrew Bogut,2328652,2018,2017,LAL,Los Angeles Lakers
Tyler Ennis,1524305,2018,2017,LAL,Los Angeles Lakers
Larry Nance,1471382,2018,2017,LAL,Los Angeles Lakers
Kyle Kuzma,1423560,2018,2017,LAL,Los Angeles Lakers
Josh Hart,1394520,2018,2017,LAL,Los Angeles Lakers
Ivica Zubac,1312611,2018,2017,LAL,Los Angeles Lakers
Stephen Zimmerman,1312611,2018,2017,LAL,Los Angeles Lakers
Thomas Bryant,815615,2018,2017,LAL,Los Angeles Lakers
Vander Blue,50000,2018,2017,LAL,Los Angeles Lakers
V.J. Beachem,50000,2018,2017,LAL,Los Angeles Lakers
Briante Weber,50000,2018,2017,LAL,Los Angeles Lakers
Mike Conley,28530608,2018,2017,MEM,Memphis Grizzlies
Chandler Parsons,23112004,2018,2017,MEM,Memphis Grizzlies
Marc Gasol,22642350,2018,2017,MEM,Memphis Grizzlies
JaMychal Green,8533333,2018,2017,MEM,Memphis Grizzlies
Brandan Wright,5955760,2018,2017,MEM,Memphis Grizzlies
Ben McLemore,5200000,2018,2017,MEM,Memphis Grizzlies
Tyreke Evans,3290000,2018,2017,MEM,Memphis Grizzlies
James Ennis,3028410,2018,2017,MEM,Memphis Grizzlies
Mario Chalmers,2106407,2018,2017,MEM,Memphis Grizzlies
Wade Baldwin,1874400,2018,2017,MEM,Memphis Grizzlies
Jarell Martin,1471382,2018,2017,MEM,Memphis Grizzlies
Andrew Harrison,1312611,2018,2017,MEM,Memphis Grizzlies
Deyonta Davis,1312611,2018,2017,MEM,Memphis Grizzlies
Wayne Selden,1312611,2018,2017,MEM,Memphis Grizzlies
Ivan Rabb,950000,2018,2017,MEM,Memphis Grizzlies
Rade Zagorac,950000,2018,2017,MEM,Memphis Grizzlies
Dillon Brooks,815615,2018,2017,MEM,Memphis Grizzlies
Chris Bosh,25289390,2018,2017,MIA,Miami Heat
Hassan Whiteside,23775506,2018,2017,MIA,Miami Heat
Goran Dragic,17000450,2018,2017,MIA,Miami Heat
James Johnson,13954000,2018,2017,MIA,Miami Heat
Dion Waiters,11000000,2018,2017,MIA,Miami Heat
Kelly Olynyk,10607169,2018,2017,MIA,Miami Heat
Wayne Ellington,6270000,2018,2017,MIA,Miami Heat
Tyler Johnson,5881260,2018,2017,MIA,Miami Heat
Justise Winslow,2705040,2018,2017,MIA,Miami Heat
Bam Adebayo,2490360,2018,2017,MIA,Miami Heat
Udonis Haslem,2328652,2018,2017,MIA,Miami Heat
Jordan Mickey,1471382,2018,2017,MIA,Miami Heat
Josh Richardson,1471382,2018,2017,MIA,Miami Heat
A.J. Hammons,1312611,2018,2017,MIA,Miami Heat
Rodney McGruder,1312611,2018,2017,MIA,Miami Heat
Okaro White,1312611,2018,2017,MIA,Miami Heat
Giannis Antetokounmpo,22471910,2018,2017,MIL,Milwaukee Bucks
Eric Bledsoe,14500000,2018,2017,MIL,Milwaukee Bucks
Khris Middleton,14100000,2018,2017,MIL,Milwaukee Bucks
John Henson,11422536,2018,2017,MIL,Milwaukee Bucks
Mirza Teletovic,10500000,2018,2017,MIL,Milwaukee Bucks
Tony Snell,9821429,2018,2017,MIL,Milwaukee Bucks
Matthew Dellavedova,9607500,2018,2017,MIL,Milwaukee Bucks
Jabari Parker,6782392,2018,2017,MIL,Milwaukee Bucks
Spencer Hawes,6021175,2018,2017,MIL,Milwaukee Bucks
Thon Maker,2684160,2018,2017,MIL,Milwaukee Bucks
